video_title,author,comment
,"a ,",Virou minha notificação do WhatsApp
,Gustavo,
,maysa,Bellinghammmmm
,Bandolero,"Quem fala ""o iluminado"" aí é o Luís Roberto"
,Jean Carlos,"Bellingham é monstro! Mas esse maluco narrando, bom demais!"
,Samuel RamosW,144p pra uma nova e boa experiencia
